ms_today;input_voltage;temp_mos_max;temp_mos_1;temp_mos_2;temp_mos_3;temp_motor;current_motor;current_in;d_axis_current;q_axis_current;erpm;duty_cycle;amp_hours_used;amp_hours_charged;watt_hours_used;watt_hours_charged;tachometer;tachometer_abs;encoder_position;fault_code;vesc_id;d_axis_voltage;q_axis_voltage;ms_today_setup;amp_hours_setup;amp_hours_charged_setup;watt_hours_setup;watt_hours_charged_setup;battery_level;battery_wh_tot;current_in_setup;current_motor_setup;speed_meters_per_sec;tacho_meters;tacho_abs_meters;num_vescs;ms_today_imu;roll;pitch;yaw;accX;accY;accZ;gyroX;gyroY;gyroZ;gnss_posTime;gnss_lat;gnss_lon;gnss_alt;gnss_gVel;gnss_vVel;gnss_hAcc;gnss_vAcc;
3169550;46.4;32.7;0;0;0;-271.6;0;0;0;0;0;0;0.0281;0.0001;1.2908;0.0048;106353;109537;307.511;0;0;0;0;3159318;0.0281;0.0001;1.2908;0.0048;9.152;2449.28;0;0;0;660.28;680.048;1;3156346;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
3169616;46.2;32.7;0;0;0;-272.1;0;0;0;0;0;0;0.0281;0.0001;1.2908;0.0048;106353;109537;307.753;0;0;0;0;3169582;0.0281;0.0001;1.2908;0.0048;8.76;2344.34;0;0;0;660.28;680.048;1;3169582;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
3169668;45.5;32.8;0;0;0;-273;0;0;0;0;0;0;0.0281;0.0001;1.2908;0.0048;106353;109537;307.652;0;0;0;0;3169582;0.0281;0.0001;1.2908;0.0048;8.76;2344.34;0;0;0;660.28;680.048;1;3169582;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
3169787;45.9;32.6;0;0;0;-240.3;0;0;0;0;0;0;0.0281;0.0001;1.2908;0.0048;106353;109537;307.751;0;0;0;0;3169718;0.0281;0.0001;1.2908;0.0048;8.603;2302.38;0;0;0;660.28;680.048;1;3169718;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
3169907;46.5;32.4;0;0;0;-240.3;0;0;0;0;0;0;0.0281;0.0001;1.2908;0.0048;106353;109537;307.738;0;0;0;0;3169867;0.0281;0.0001;1.2908;0.0048;9.127;2442.53;0;0;0;660.28;680.048;1;3169885;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
3169967;45.5;32.7;0;0;0;-268.2;0;0;0;0;0;0;0.0281;0.0001;1.2908;0.0048;106353;109537;307.811;0;0;0;0;3169960;0.0281;0.0001;1.2908;0.0048;8.595;2300.18;0;0;0;660.28;680.048;1;3169885;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
3170088;45.5;32.7;0;0;0;-269.4;0;0;0;0;0;0;0.0281;0.0001;1.2908;0.0048;106353;109537;308.062;0;0;0;0;3170028;0.0281;0.0001;1.2908;0.0048;9.093;2433.54;0;0;0;660.28;680.048;1;3170009;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
3170184;45.9;32.8;0;0;0;-271.3;0;0;0;0;0;0;0.0281;0.0001;1.2908;0.0048;106353;109537;308.197;0;0;0;0;3170092;0.0281;0.0001;1.2908;0.0048;8.562;2291.38;0;0;0;660.28;680.048;1;3170131;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
3170238;45.4;32.7;0;0;0;-271.5;0;0;0;0;0;0;0.0281;0.0001;1.2908;0.0048;106353;109537;308.229;0;0;0;0;3170226;0.0281;0.0001;1.2908;0.0048;8.835;2364.31;0;0;0;660.28;680.048;1;3170235;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
3170328;45.9;32.6;0;0;0;-250.5;0;0;0;0;0;0;0.0281;0.0001;1.2908;0.0048;106353;109537;308.401;0;0;0;0;3170319;0.0281;0.0001;1.2908;0.0048;8.529;2282.59;0;0;0;660.28;680.048;1;3170235;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
3170388;45.3;32.8;0;0;0;-272.7;0;0;0;0;0;0;0.0281;0.0001;1.2908;0.0048;106353;109537;308.519;0;0;0;0;3170319;0.0281;0.0001;1.2908;0.0048;8.529;2282.59;0;0;0;660.28;680.048;1;3170357;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
3170513;45.5;32.4;0;0;0;-203.5;0;0;0;0;0;0;0.0281;0.0001;1.2908;0.0048;106353;109537;308.531;0;0;0;0;3170433;0.0281;0.0001;1.2908;0.0048;8.876;2375.43;0;0;0;660.28;680.048;1;3170446;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
3170570;45.5;32.7;0;0;0;-255.6;0;0;0;0;0;0;0.0281;0.0001;1.2908;0.0048;106353;109537;308.826;0;0;0;0;3170538;0.0281;0.0001;1.2908;0.0048;8.735;2337.7;0;0;0;660.28;680.048;1;3170569;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
3170692;46.5;32.8;0;0;0;-273;0;0;0;0;0;0;0.0281;0.0001;1.2908;0.0048;106353;109537;308.842;0;0;0;0;3170599;0.0281;0.0001;1.2908;0.0048;9.11;2438.03;0;0;0;660.28;680.048;1;3170569;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
3170782;46.4;32.7;0;0;0;-252.2;0;0;0;0;0;0;0.0281;0.0001;1.2908;0.0048;106353;109537;308.974;0;0;0;0;3170749;0.0281;0.0001;1.2908;0.0048;8.918;2386.57;0;0;0;660.28;680.048;1;3170748;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
3170878;46.6;32.7;0;0;0;-271.3;0;0;0;0;0;0;0.0281;0.0001;1.2908;0.0048;106353;109537;309.14;0;0;0;0;3170808;0.0281;0.0001;1.2908;0.0048;9.01;2411.13;0;0;0;660.28;680.048;1;3170812;0;0;0;0;0;0;0;0;0;3170754;37.34954390;-121.93060820;-12.69999981;0.00000000;0.00000000;20.76199913;2.00000000;
3170962;46.5;32.6;0;0;0;-247.6;0;0;0;0;0;0;0.0281;0.0001;1.2908;0.0048;106353;109537;309.32;0;0;0;0;3170897;0.0281;0.0001;1.2908;0.0048;8.752;2342.12;0;0;0;660.28;680.048;1;3170900;0;0;0;0;0;0;0;0;0;3170754;37.34954390;-121.93060820;-12.69999981;0.00000000;0.00000000;20.76199913;2.00000000;
3171021;46.4;32.7;0;0;0;-272.9;0;0;0;0;0;0;0.0281;0.0001;1.2908;0.0048;106353;109537;309.152;0;0;0;0;3170963;0.0281;0.0001;1.2908;0.0048;8.901;2382.11;0;0;0;660.28;680.048;1;3170987;0;0;0;0;0;0;0;0;0;3170754;37.34954390;-121.93060820;-12.69999981;0.00000000;0.00000000;20.76199913;2.00000000;
3171109;45.7;32.7;0;0;0;-261.2;0;0;0;0;0;0;0.0281;0.0001;1.2908;0.0048;106353;109537;309.149;0;0;0;0;3171048;0.0281;0.0001;1.2908;0.0048;8.802;2355.43;0;0;0;660.28;680.048;1;3171077;0;0;0;0;0;0;0;0;0;3170754;37.34954390;-121.93060820;-12.69999981;0.00000000;0.00000000;20.76199913;2.00000000;
